Date,Id,Nominal,Value,VunitRate
06.07.2022,R01820,100,"42,9823","0,429823"
07.07.2022,R01820,100,"46,3672","0,463672"
08.07.2022,R01820,100,"46,5311","0,465311"
09.07.2022,R01820,100,"45,0422","0,450422"
12.07.2022,R01820,100,"44,9282","0,449282"
13.07.2022,R01820,100,"42,9122","0,429122"
14.07.2022,R01820,100,"42,6868","0,426868"
15.07.2022,R01820,100,"42,2151","0,422151"
16.07.2022,R01820,100,"41,6359","0,416359"
19.07.2022,R01820,100,"40,7211","0,407211"
20.07.2022,R01820,100,"40,1078","0,401078"
21.07.2022,R01820,100,"39,7026","0,397026"
22.07.2022,R01820,100,"40,7933","0,407933"
23.07.2022,R01820,100,"41,7941","0,417941"
26.07.2022,R01820,100,"42,3002","0,423002"
27.07.2022,R01820,100,"42,9905","0,429905"
28.07.2022,R01820,100,"43,9593","0,439593"
29.07.2022,R01820,100,"44,4960","0,44496"
30.07.2022,R01820,100,"46,0978","0,460978"
02.08.2022,R01820,100,"46,8306","0,468306"
03.08.2022,R01820,100,"45,9759","0,459759"
04.08.2022,R01820,100,"45,0373","0,450373"
05.08.2022,R01820,100,"45,0965","0,450965"
06.08.2022,R01820,100,"45,3873","0,453873"
09.08.2022,R01820,100,"44,5468","0,445468"
10.08.2022,R01820,100,"44,7734","0,447734"
11.08.2022,R01820,100,"44,7146","0,447146"
12.08.2022,R01820,100,"44,8394","0,448394"
13.08.2022,R01820,100,"45,6688","0,456688"
16.08.2022,R01820,100,"46,1464","0,461464"
17.08.2022,R01820,100,"46,1250","0,46125"
18.08.2022,R01820,100,"45,2351","0,452351"
19.08.2022,R01820,100,"44,4521","0,444521"
20.08.2022,R01820,100,"43,3902","0,433902"
23.08.2022,R01820,100,"43,5437","0,435437"
24.08.2022,R01820,100,"43,6308","0,436308"
25.08.2022,R01820,100,"43,8257","0,438257"
26.08.2022,R01820,100,"43,6468","0,436468"
27.08.2022,R01820,100,"43,9529","0,439529"
30.08.2022,R01820,100,"43,4271","0,434271"
31.08.2022,R01820,100,"43,5868","0,435868"
01.09.2022,R01820,100,"43,4591","0,434591"
02.09.2022,R01820,100,"43,1806","0,431806"
03.09.2022,R01820,100,"43,1070","0,43107"
06.09.2022,R01820,100,"43,4093","0,434093"
07.09.2022,R01820,100,"43,1591","0,431591"
08.09.2022,R01820,100,"42,4517","0,424517"
09.09.2022,R01820,100,"42,1060","0,42106"
10.09.2022,R01820,100,"42,0629","0,420629"
13.09.2022,R01820,100,"42,3367","0,423367"
14.09.2022,R01820,100,"42,1291","0,421291"
15.09.2022,R01820,100,"41,3812","0,413812"
16.09.2022,R01820,100,"41,6519","0,416519"
17.09.2022,R01820,100,"41,9743","0,419743"
20.09.2022,R01820,100,"42,0684","0,420684"
21.09.2022,R01820,100,"41,9017","0,419017"
22.09.2022,R01820,100,"42,3580","0,42358"
23.09.2022,R01820,100,"41,4204","0,414204"
24.09.2022,R01820,100,"40,2219","0,402219"
27.09.2022,R01820,100,"40,2771","0,402771"
28.09.2022,R01820,100,"40,2739","0,402739"
29.09.2022,R01820,100,"40,4041","0,404041"
30.09.2022,R01820,100,"39,7735","0,397735"
01.10.2022,R01820,100,"38,2055","0,382055"
04.10.2022,R01820,100,"39,7421","0,397421"
05.10.2022,R01820,100,"40,6298","0,406298"
06.10.2022,R01820,100,"41,2730","0,41273"
07.10.2022,R01820,100,"41,6748","0,416748"
08.10.2022,R01820,100,"42,2338","0,422338"
11.10.2022,R01820,100,"42,9683","0,429683"
12.10.2022,R01820,100,"43,7000","0,437"
13.10.2022,R01820,100,"43,6147","0,436147"
14.10.2022,R01820,100,"43,2358","0,432358"
15.10.2022,R01820,100,"42,7874","0,427874"
18.10.2022,R01820,100,"41,5691","0,415691"
19.10.2022,R01820,100,"41,4394","0,414394"
20.10.2022,R01820,100,"41,2860","0,41286"
21.10.2022,R01820,100,"41,0203","0,410203"
22.10.2022,R01820,100,"40,6941","0,406941"
25.10.2022,R01820,100,"41,8924","0,418924"
26.10.2022,R01820,100,"41,1628","0,411628"
27.10.2022,R01820,100,"41,4604","0,414604"
28.10.2022,R01820,100,"41,9950","0,41995"
29.10.2022,R01820,100,"41,9743","0,419743"
01.11.2022,R01820,100,"41,5697","0,415697"
02.11.2022,R01820,100,"41,3014","0,413014"
03.11.2022,R01820,100,"41,7633","0,417633"
